"Protein","Protein Description"
"XP_020622654.1","polyamine oxidase-like [Orbicella faveolata]"
"XP_020622655.1","polyamine oxidase-like [Orbicella faveolata]"
"XP_020622659.1","alkyldihydroxyacetonephosphate synthase, peroxisomal-like [Orbicella faveolata]"
"XP_020622663.1","cAMP-dependent protein kinase type I-alpha regulatory subunit-like isoform X1 [Orbicella faveolata]"
"XP_020622666.1","dynein regulatory complex subunit 3-like [Orbicella faveolata]"
"XP_020622667.1","PRKCA-binding protein-like [Orbicella faveolata]"
"XP_020622672.1","mediator of RNA polymerase II transcription subunit 7-like [Orbicella faveolata]"
"XP_020622679.1","hemagglutinin/amebocyte aggregation factor-like [Orbicella faveolata]"
"XP_020622687.1","charged multivesicular body protein 6-A-like [Orbicella faveolata]"
"XP_020622688.1","serine/threonine-protein kinase PRP4 homolog [Orbicella faveolata]"
"XP_020622690.1","serine/threonine-protein kinase SMG1-like [Orbicella faveolata]"
"XP_020622691.1","PHD finger-like domain-containing protein 5A [Orbicella faveolata]"
"XP_020622704.1","serine hydroxymethyltransferase, mitochondrial-like [Orbicella faveolata]"
"XP_020622709.1","lethal(2) giant larvae protein homolog 2-like isoform X1 [Orbicella faveolata]"
"XP_020622710.1","lethal(2) giant larvae protein homolog 2-like isoform X2 [Orbicella faveolata]"
"XP_020622715.1","protein Njmu-R1-like [Orbicella faveolata]"
"XP_020622728.1","polyamine oxidase-like [Orbicella faveolata]"
"XP_020622733.1","COP9 signalosome complex subunit 1-like [Orbicella faveolata]"
"XP_020622739.1","ubiquinone biosynthesis O-methyltransferase, mitochondrial-like [Orbicella faveolata]"
"XP_020622742.1","uncharacterized protein LOC110060323 [Orbicella faveolata]"
"XP_020622749.1","polycomb protein eed-like [Orbicella faveolata]"
"XP_020622750.1","poly(A) RNA polymerase GLD2-A-like [Orbicella faveolata]"
"XP_020622751.1","poly(A) RNA polymerase GLD2-like isoform X1 [Orbicella faveolata]"
"XP_020622760.1","mitochondrial pyruvate carrier 1-like [Orbicella faveolata]"
"XP_020622761.1","unconventional myosin-VI-like [Orbicella faveolata]"
"XP_020622765.1","uncharacterized protein LOC110060338 [Orbicella faveolata]"
"XP_020622773.1","myosin-2 essential light chain-like [Orbicella faveolata]"
"XP_020622774.1","thyroid receptor-interacting protein 11-like isoform X1 [Orbicella faveolata]"
"XP_020622776.1","peptidyl-prolyl cis-trans isomerase-like 6 [Orbicella faveolata]"
"XP_020622777.1","mucin-like protein isoform X1 [Orbicella faveolata]"
"XP_020622780.1","mucin-like protein [Orbicella faveolata]"
"XP_020622781.1","tRNA wybutosine-synthesizing protein 5-like [Orbicella faveolata]"
"XP_020622782.1","major facilitator superfamily domain-containing protein 9-like isoform X1 [Orbicella faveolata]"
"XP_020622784.1","B-cell lymphoma 3 protein homolog [Orbicella faveolata]"
"XP_020622785.1","peroxisomal targeting signal 2 receptor-like [Orbicella faveolata]"
"XP_020622787.1","HIV Tat-specific factor 1-like [Orbicella faveolata]"
"XP_020622797.1","uncharacterized protein LOC110060368 [Orbicella faveolata]"
"XP_020622799.1","coadhesin-like isoform X1 [Orbicella faveolata]"
"XP_020622800.1","coadhesin-like isoform X2 [Orbicella faveolata]"
"XP_020622804.1","metabotropic glutamate receptor 4-like [Orbicella faveolata]"
"XP_020622805.1","reticulon-4-interacting protein 1 homolog, mitochondrial-like [Orbicella faveolata]"
"XP_020622812.1","putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [Orbicella faveolata]"
"XP_020622816.1","uncharacterized protein LOC110060389 [Orbicella faveolata]"
"XP_020622817.1","radial spoke head protein 3 homolog [Orbicella faveolata]"
"XP_020622818.1","60S ribosomal protein L13a-like [Orbicella faveolata]"
"XP_020622819.1","iron-sulfur cluster assembly enzyme ISCU, mitochondrial-like [Orbicella faveolata]"
"XP_020622821.1","poly(A) RNA polymerase GLD2-A-like [Orbicella faveolata]"
"XP_020622825.1","ornithine carbamoyltransferase, mitochondrial-like [Orbicella faveolata]"
"XP_020622826.1","probable palmitoyltransferase ZDHHC14 [Orbicella faveolata]"
"XP_020622830.1","mitochondrial pyruvate carrier 2-like [Orbicella faveolata]"
"XP_020622831.1","biotin--protein ligase-like isoform X1 [Orbicella faveolata]"
"XP_020622834.1","collagen alpha-1(XXIII) chain-like [Orbicella faveolata]"
"XP_020622835.1","uncharacterized protein LOC110060404 [Orbicella faveolata]"
"XP_020622836.1","collagen alpha-1(XII) chain-like [Orbicella faveolata]"
"XP_020622837.1","SAM and SH3 domain-containing protein 1-like [Orbicella faveolata]"
"XP_020622839.1","PEST proteolytic signal-containing nuclear protein-like [Orbicella faveolata]"
"XP_020622840.1","atrophin-1-like isoform X1 [Orbicella faveolata]"
"XP_020622842.1","uncharacterized protein LOC110060412 [Orbicella faveolata]"
"XP_020622854.1","olfactomedin-like protein 2A [Orbicella faveolata]"
"XP_020622855.1","radixin-like [Orbicella faveolata]"
"XP_020622858.1","uncharacterized protein LOC110060422 [Orbicella faveolata]"
"XP_020622859.1","chloride intracellular channel protein 1-like [Orbicella faveolata]"
"XP_020622867.1","uncharacterized protein LOC110060429 [Orbicella faveolata]"
"XP_020622869.1","E3 ubiquitin-protein ligase parkin-like [Orbicella faveolata]"
"XP_020622870.1","LOW QUALITY PROTEIN: pre-mRNA-processing factor 17-like [Orbicella faveolata]"
"XP_020622876.1","translocation protein SEC63 homolog [Orbicella faveolata]"
"XP_020622878.1","programmed cell death protein 6-like [Orbicella faveolata]"
"XP_020622885.1","eukaryotic translation initiation factor 2 subunit 3 [Orbicella faveolata]"
"XP_020622887.1","uncharacterized protein LOC110060447 [Orbicella faveolata]"
"XP_020622890.1","peptidyl-prolyl cis-trans isomerase-like 6 [Orbicella faveolata]"
"XP_020622898.1","pyrroline-5-carboxylate reductase 3-like [Orbicella faveolata]"
"XP_020622899.1","trifunctional purine biosynthetic protein adenosine-3-like [Orbicella faveolata]"
"XP_020622902.1","uncharacterized protein LOC110060460 [Orbicella faveolata]"
"XP_020622911.1","translocon-associated protein subunit delta-like [Orbicella faveolata]"
"XP_020622914.1","acylamino-acid-releasing enzyme-like isoform X1 [Orbicella faveolata]"
"XP_020622917.1","threonine synthase-like 1 [Orbicella faveolata]"
"XP_020622921.1","prolyl 4-hydroxylase subunit alpha-2-like [Orbicella faveolata]"
"XP_020622924.1","ubiquitin-conjugating enzyme E2 N-like [Orbicella faveolata]"
"XP_020622928.1","LOW QUALITY PROTEIN: N-fatty-acyl-amino acid synthase/hydrolase PM20D1.2-like [Orbicella faveolata]"
"XP_020622929.1","TBC1 domain family member 22B-like isoform X1 [Orbicella faveolata]"
"XP_020622933.1","serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like [Orbicella faveolata]"
"XP_020622934.1","meckelin-like [Orbicella faveolata]"
"XP_020622950.1","phenazine biosynthesis-like domain-containing protein [Orbicella faveolata]"
"XP_020622954.1","enkurin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020622975.1","protein EFR3 homolog B-like [Orbicella faveolata]"
"XP_020622979.1","uncharacterized protein LOC110060529 [Orbicella faveolata]"
"XP_020622984.1","protein AMN1 homolog [Orbicella faveolata]"
"XP_020622989.1","uncharacterized protein LOC110060542 [Orbicella faveolata]"
"XP_020622991.1","steroid 17-alpha-hydroxylase/17,20 lyase-like [Orbicella faveolata]"
"XP_020622993.1","aldehyde dehydrogenase family 8 member A1-like [Orbicella faveolata]"
"XP_020622997.1","uncharacterized protein LOC110060551 isoform X1 [Orbicella faveolata]"
"XP_020623001.1","steroid 17-alpha-hydroxylase/17,20 lyase-like isoform X1 [Orbicella faveolata]"
"XP_020623026.1","LOW QUALITY PROTEIN: calcium/calmodulin-dependent protein kinase type 1D-like [Orbicella faveolata]"
"XP_020623027.1","uncharacterized protein LOC110060579 [Orbicella faveolata]"
"XP_020623032.1","tyrosine-protein phosphatase non-receptor type 18-like [Orbicella faveolata]"
"XP_020623034.1","tRNA-splicing ligase RtcB homolog [Orbicella faveolata]"
"XP_020623046.1","uncharacterized protein LOC110060595 [Orbicella faveolata]"
"XP_020623054.1","zygotic DNA replication licensing factor mcm6-A-like [Orbicella faveolata]"
"XP_020623061.1","coactosin-like protein, partial [Orbicella faveolata]"
"XP_020623062.1","uncharacterized protein LOC110060621 [Orbicella faveolata]"
"XP_020623063.1","aspartyl aminopeptidase-like [Orbicella faveolata]"
"XP_020623064.1","ras-related protein Rab-18-B-like [Orbicella faveolata]"
"XP_020623069.1","protein C21orf2-like isoform X1 [Orbicella faveolata]"
"XP_020623081.1","chromobox protein homolog 1-like [Orbicella faveolata]"
"XP_020623082.1","Bardet-Biedl syndrome 4 protein-like [Orbicella faveolata]"
"XP_020623083.1","uncharacterized protein LOC110060638 [Orbicella faveolata]"
"XP_020623090.1","small ubiquitin-related modifier 1-like [Orbicella faveolata]"
"XP_020623091.1","uncharacterized protein LOC110060645 isoform X1 [Orbicella faveolata]"
"XP_020623094.1","WD repeat-containing protein 37-like [Orbicella faveolata]"
"XP_020623096.1","putative beta-lactamase-like 1 [Orbicella faveolata]"
"XP_020623097.1","tax1-binding protein 1 homolog B-like [Orbicella faveolata]"
"XP_020623109.1","transcription factor CP2-like [Orbicella faveolata]"
"XP_020623113.1","sperm-associated antigen 16 protein-like [Orbicella faveolata]"
"XP_020623117.1","putative beta-lactamase-like 1 [Orbicella faveolata]"
"XP_020623118.1","uncharacterized protein LOC110060671 [Orbicella faveolata]"
"XP_020623124.1","LOW QUALITY PROTEIN: trichohyalin-like [Orbicella faveolata]"
"XP_020623127.1","tyrosine-protein phosphatase non-receptor type 23-like isoform X1 [Orbicella faveolata]"
"XP_020623129.1","uncharacterized protein LOC110060684 isoform X1 [Orbicella faveolata]"
"XP_020623132.1","supervillin-like isoform X1 [Orbicella faveolata]"
"XP_020623135.1","CD109 antigen-like [Orbicella faveolata]"
"XP_020623136.1","armadillo repeat-containing protein 8-like isoform X1 [Orbicella faveolata]"
"XP_020623139.1","multifunctional methyltransferase subunit TRM112-like protein At1g22270 [Orbicella faveolata]"
"XP_020623142.1","acyl-CoA dehydrogenase family member 11-like [Orbicella faveolata]"
"XP_020623152.1","uncharacterized protein LOC110060706 isoform X1 [Orbicella faveolata]"
"XP_020623156.1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1-like [Orbicella faveolata]"
"XP_020623158.1","MPN domain-containing protein-like [Orbicella faveolata]"
"XP_020623163.1","uncharacterized protein LOC110060712 isoform X1 [Orbicella faveolata]"
"XP_020623167.1","uncharacterized protein LOC110060716 [Orbicella faveolata]"
"XP_020623169.1","uncharacterized protein LOC110060717 [Orbicella faveolata]"
"XP_020623170.1","uncharacterized protein LOC110060718 [Orbicella faveolata]"
"XP_020623181.1","zinc finger FYVE domain-containing protein 26-like [Orbicella faveolata]"
"XP_020623198.1","N-alpha-acetyltransferase 20-like isoform X1 [Orbicella faveolata]"
"XP_020623200.1","uncharacterized protein PB18E9.04c-like [Orbicella faveolata]"
"XP_020623205.1","pleckstrin homology domain-containing family A member 8-like [Orbicella faveolata]"
"XP_020623209.1","FK506-binding protein 2-like [Orbicella faveolata]"
"XP_020623210.1","N-terminal Xaa-Pro-Lys N-methyltransferase 1-B-like isoform X1 [Orbicella faveolata]"
"XP_020623212.1","leucine-rich PPR motif-containing protein, mitochondrial-like [Orbicella faveolata]"
"XP_020623214.1","MATH and LRR domain-containing protein PFE0570w-like [Orbicella faveolata]"
"XP_020623219.1","myosin-2 essential light chain-like [Orbicella faveolata]"
"XP_020623221.1","E3 ubiquitin-protein ligase DZIP3-like, partial [Orbicella faveolata]"
"XP_020623229.1","mucin-2-like, partial [Orbicella faveolata]"
"XP_020623230.1","ATP synthase subunit beta, mitochondrial-like [Orbicella faveolata]"
"XP_020623239.1","ATP synthase subunit beta, mitochondrial-like [Orbicella faveolata]"
"XP_020623240.1","5'-AMP-activated protein kinase subunit gamma-1-like [Orbicella faveolata]"
"XP_020623241.1","riboflavin-binding protein-like [Orbicella faveolata]"
"XP_020623243.1","short-chain collagen C4-like [Orbicella faveolata]"
"XP_020623248.1","cleavage and polyadenylation specificity factor subunit 3-like [Orbicella faveolata]"
"XP_020623249.1","bactericidal permeability-increasing protein-like [Orbicella faveolata]"
"XP_020623253.1","bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA-like [Orbicella faveolata]"
"XP_020623255.1","trichohyalin-like [Orbicella faveolata]"
"XP_020623256.1","TBC1 domain family member 2B-like [Orbicella faveolata]"
"XP_020623257.1","nucleolar RNA helicase 2-like isoform X1 [Orbicella faveolata]"
"XP_020623259.1","biogenesis of lysosome-related organelles complex 1 subunit 2-like [Orbicella faveolata]"
"XP_020623269.1","adenylate kinase 9-like [Orbicella faveolata]"
"XP_020623270.1","extensin-like isoform X1 [Orbicella faveolata]"
"XP_020623274.1","uncharacterized protein LOC110060818 isoform X1 [Orbicella faveolata]"
"XP_020623276.1","stromal cell-derived factor 2-like [Orbicella faveolata]"
"XP_020623278.1","uncharacterized protein LOC110060821 [Orbicella faveolata]"
"XP_020623281.1","afadin-like [Orbicella faveolata]"
"XP_020623282.1","serine/arginine-rich splicing factor 5-like [Orbicella faveolata]"
"XP_020623289.1","ATP synthase subunit O, mitochondrial-like [Orbicella faveolata]"
"XP_020623290.1","importin subunit alpha-7-like [Orbicella faveolata]"
"XP_020623291.1","catalase-like [Orbicella faveolata]"
"XP_020623294.1","serine/threonine-protein kinase 26-like [Orbicella faveolata]"
"XP_020623297.1","wiskott-Aldrich syndrome protein family member 3-like [Orbicella faveolata]"
"XP_020623298.1","pirin-like protein [Orbicella faveolata]"
"XP_020623302.1","acetyl-CoA acetyltransferase, mitochondrial-like [Orbicella faveolata]"
"XP_020623303.1","uncharacterized protein LOC110060841 [Orbicella faveolata]"
"XP_020623309.1","general vesicular transport factor p115-like [Orbicella faveolata]"
"XP_020623312.1","muscle, skeletal receptor tyrosine protein kinase-like isoform X1 [Orbicella faveolata]"
"XP_020623315.1","marginal zone B- and B1-cell-specific protein-like [Orbicella faveolata]"
"XP_020623317.1","prefoldin subunit 3-like [Orbicella faveolata]"
"XP_020623318.1","afadin-like [Orbicella faveolata]"
"XP_020623320.1","lysine--tRNA ligase-like [Orbicella faveolata]"
"XP_020623321.1","DUF21 domain-containing protein At4g33700-like [Orbicella faveolata]"
"XP_020623328.1","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform-like [Orbicella faveolata]"
"XP_020623333.1","pyridoxal kinase-like isoform X1 [Orbicella faveolata]"
"XP_020623335.1","uncharacterized protein LOC110060867 [Orbicella faveolata]"
"XP_020623336.1","solute carrier family 28 member 3-like [Orbicella faveolata]"
"XP_020623340.1","cathepsin B-like, partial [Orbicella faveolata]"
"XP_020623341.1","frizzled-9-like [Orbicella faveolata]"
"XP_020623343.1","NADP-dependent malic enzyme-like [Orbicella faveolata]"
"XP_020623347.1","heterogeneous nuclear ribonucleoprotein A/B-like isoform X1 [Orbicella faveolata]"
"XP_020623361.1","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like [Orbicella faveolata]"
"XP_020623368.1","quinone oxidoreductase-like protein 1 [Orbicella faveolata]"
"XP_020623369.1","serine/threonine-protein kinase PAK 3-like isoform X1 [Orbicella faveolata]"
"XP_020623371.1","UDP-glucuronic acid decarboxylase 1-like isoform X1 [Orbicella faveolata]"
"XP_020623373.1","dr1-associated corepressor-like [Orbicella faveolata]"
"XP_020623378.1","uncharacterized protein LOC110060913 [Orbicella faveolata]"
"XP_020623401.1","vegetative cell wall protein gp1-like [Orbicella faveolata]"
"XP_020623411.1","nidogen-1-like isoform X1 [Orbicella faveolata]"
"XP_020623413.1","acetyl-coenzyme A synthetase, cytoplasmic-like [Orbicella faveolata]"
"XP_020623414.1","putative IQ motif and ankyrin repeat domain-containing protein isoform X1 [Orbicella faveolata]"
"XP_020623420.1","LOW QUALITY PROTEIN: hydrocephalus-inducing protein homolog [Orbicella faveolata]"
"XP_020623424.1","uncharacterized protein LOC110060956 [Orbicella faveolata]"
"XP_020623431.1","netrin receptor DCC-like [Orbicella faveolata]"
"XP_020623433.1","stromal membrane-associated protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020623446.1","CAD protein-like isoform X1 [Orbicella faveolata]"
"XP_020623447.1","CAD protein-like isoform X2 [Orbicella faveolata]"
"XP_020623449.1","CAD protein-like isoform X4 [Orbicella faveolata]"
"XP_020623458.1","syntaxin-5-like [Orbicella faveolata]"
"XP_020623460.1","uridine-cytidine kinase-like 1 [Orbicella faveolata]"
"XP_020623461.1","serine/threonine-protein kinase Sgk1-like [Orbicella faveolata]"
"XP_020623462.1","serine/threonine-protein kinase Sgk1-like [Orbicella faveolata]"
"XP_020623463.1","protease 2-like isoform X1 [Orbicella faveolata]"
"XP_020623466.1","dehydrogenase/reductase SDR family member 7-like [Orbicella faveolata]"
